GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US48423,48423,"Smith County, Texas",18.4,8.3,26.8
0500000US48439,48439,"Tarrant County, Texas",21.2,10.3,31.4
0500000US48441,48441,"Taylor County, Texas",15.2,9.1,24.3
0500000US48451,48451,"Tom Green County, Texas",15.5,7.8,23.3
0500000US48453,48453,"Travis County, Texas",31.6,17.8,49.5
0500000US48469,48469,"Victoria County, Texas",12.9,6.8,19.7
0500000US48471,48471,"Walker County, Texas",15.8,6.9,22.7
0500000US48479,48479,"Webb County, Texas",11.9,5.2,17.1
0500000US48485,48485,"Wichita County, Texas",16.6,5.8,22.3
0500000US48491,48491,"Williamson County, Texas",27.4,13.5,40.9
0500000US48497,48497,"Wise County, Texas",9.3,5.5,14.8
0500000US49005,49005,"Cache County, Utah",27.1,13.6,40.7
0500000US49011,49011,"Davis County, Utah",26.5,12.4,38.9
0500000US49035,49035,"Salt Lake County, Utah",22.8,13.2,36
0500000US49045,49045,"Tooele County, Utah",18,9.5,27.5
0500000US49049,49049,"Utah County, Utah",28.9,12.9,41.8
0500000US49053,49053,"Washington County, Utah",17.4,9.5,26.9
0500000US49057,49057,"Weber County, Utah",17.2,8.2,25.4
0500000US50007,50007,"Chittenden County, Vermont",28.1,20.1,48.2
0500000US51003,51003,"Albemarle County, Virginia",32.2,23,55.2
0500000US51013,51013,"Arlington County, Virginia",35.5,40.5,75.9
0500000US51015,51015,"Augusta County, Virginia",11.3,9.9,21.2
0500000US51019,51019,"Bedford County, Virginia",16.4,10.7,27.1
0500000US51041,51041,"Chesterfield County, Virginia",25.4,14.5,39.8
0500000US51059,51059,"Fairfax County, Virginia",30.8,30.6,61.4
0500000US51061,51061,"Fauquier County, Virginia",22.7,11.9,34.6
0500000US51069,51069,"Frederick County, Virginia",16.5,10.6,27.1
0500000US51085,51085,"Hanover County, Virginia",25.7,12.9,38.7
0500000US51087,51087,"Henrico County, Virginia",26.5,18.9,45.4
