"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Jackson County, GA"	"13157"	11	9293	118.4 (Unreliable)
	"Laurens County, GA"	"13175"	13	6150	211.4 (Unreliable)
	"Liberty County, GA"	"13179"	13	5902	220.3 (Unreliable)
	"Lowndes County, GA"	"13185"	18	12454	144.5 (Unreliable)
	"Murray County, GA"	"13213"	13	5765	225.5 (Unreliable)
	"Muscogee County, GA"	"13215"	61	23290	261.9
	"Newton County, GA"	"13217"	20	15349	130.3
	"Paulding County, GA"	"13223"	15	24421	61.4 (Unreliable)
	"Polk County, GA"	"13233"	10	5376	186.0 (Unreliable)
	"Richmond County, GA"	"13245"	51	23500	217.0
	"Rockdale County, GA"	"13247"	11	13213	83.3 (Unreliable)
	"Spalding County, GA"	"13255"	19	8249	230.3 (Unreliable)
	"Troup County, GA"	"13285"	16	9058	176.6 (Unreliable)
	"Walker County, GA"	"13295"	35	9376	373.3
	"Walton County, GA"	"13297"	21	13312	157.8
	"Whitfield County, GA"	"13313"	14	14077	99.5 (Unreliable)
	"Hawaii County, HI"	"15001"	31	23864	129.9
	"Honolulu County, HI"	"15003"	96	122317	78.5
	"Maui County, HI"	"15009"	19	22772	83.4 (Unreliable)
	"Ada County, ID"	"16001"	33	58059	56.8
	"Canyon County, ID"	"16027"	24	24622	97.5
	"Kootenai County, ID"	"16055"	14	19427	72.1 (Unreliable)
	"Adams County, IL"	"17001"	10	8385	119.3 (Unreliable)
	"Champaign County, IL"	"17019"	21	20616	101.9
	"Cook County, IL"	"17031"	759	670762	113.2
	"DuPage County, IL"	"17043"	63	133626	47.1
	"Jackson County, IL"	"17077"	14	5954	235.1 (Unreliable)
	"Kane County, IL"	"17089"	51	76326	66.8
	"Kankakee County, IL"	"17091"	25	14302	174.8
	"Knox County, IL"	"17095"	14	6344	220.7 (Unreliable)
	"Lake County, IL"	"17097"	50	104099	48.0
	"LaSalle County, IL"	"17099"	14	15052	93.0 (Unreliable)
	"McHenry County, IL"	"17111"	34	49493	68.7
	"Macon County, IL"	"17115"	23	13078	175.9
	"Macoupin County, IL"	"17117"	11	6144	179.0 (Unreliable)
	"Madison County, IL"	"17119"	57	35858	159.0
	"Peoria County, IL"	"17143"	32	22659	141.2
	"Rock Island County, IL"	"17161"	24	17767	135.1
	"St. Clair County, IL"	"17163"	45	35358	127.3
	"Sangamon County, IL"	"17167"	33	26652	123.8
	"Tazewell County, IL"	"17179"	15	17591	85.3 (Unreliable)
	"Vermilion County, IL"	"17183"	14	9847	142.2 (Unreliable)
	"Will County, IL"	"17197"	71	106009	67.0
	"Williamson County, IL"	"17199"	11	8848	124.3 (Unreliable)
	"Winnebago County, IL"	"17201"	38	38456	98.8
	"Allen County, IN"	"18003"	55	46713	117.7
	"Bartholomew County, IN"	"18005"	17	10504	161.8 (Unreliable)
	"Clark County, IN"	"18019"	19	15874	119.7 (Unreliable)
	"Delaware County, IN"	"18035"	32	13563	235.9
	"Elkhart County, IN"	"18039"	32	25752	124.3
	"Floyd County, IN"	"18043"	20	10844	184.4
	"Grant County, IN"	"18053"	19	8495	223.7 (Unreliable)
	"Hamilton County, IN"	"18057"	28	47264	59.2
	"Hendricks County, IN"	"18063"	12	22916	52.4 (Unreliable)
	"Henry County, IN"	"18065"	12	6933	173.1 (Unreliable)
	"Howard County, IN"	"18067"	24	10888	220.4
	"Johnson County, IN"	"18081"	23	20465	112.4
	"Lake County, IN"	"18089"	92	63497	144.9
	"La Porte County, IN"	"18091"	20	14934	133.9
	"Lawrence County, IN"	"18093"	10	6339	157.8 (Unreliable)
	"Madison County, IN"	"18095"	16	17586	91.0 (Unreliable)
	"Marion County, IN"	"18097"	150	115973	129.3
	"Monroe County, IN"	"18105"	18	14309	125.8 (Unreliable)
	"Porter County, IN"	"18127"	24	22685	105.8
	"Putnam County, IN"	"18133"	12	5160	232.6 (Unreliable)
	"St. Joseph County, IN"	"18141"	35	33161	105.5
	"Tippecanoe County, IN"	"18157"	20	18740	106.7
	"Vanderburgh County, IN"	"18163"	39	22345	174.5
	"Vigo County, IN"	"18167"	21	12991	161.7
	"Wayne County, IN"	"18177"	19	8867	214.3 (Unreliable)
	"Black Hawk County, IA"	"19013"	24	14555	164.9
	"Dubuque County, IA"	"19061"	10	12369	80.8 (Unreliable)
	"Johnson County, IA"	"19103"	17	15002	113.3 (Unreliable)
	"Linn County, IA"	"19113"	30	29123	103.0
	"Polk County, IA"	"19153"	48	61350	78.2
	"Pottawattamie County, IA"	"19155"	10	12083	82.8 (Unreliable)
	"Scott County, IA"	"19163"	19	22387	84.9 (Unreliable)
	"Story County, IA"	"19169"	12	8369	143.4 (Unreliable)
	"Woodbury County, IA"	"19193"	15	12550	119.5 (Unreliable)
	"Johnson County, KS"	"20091"	31	79664	38.9
	"Leavenworth County, KS"	"20103"	10	10749	93.0 (Unreliable)
	"Reno County, KS"	"20155"	12	7609	157.7 (Unreliable)
	"Saline County, KS"	"20169"	10	7139	140.1 (Unreliable)
	"Sedgwick County, KS"	"20173"	77	61534	125.1
	"Shawnee County, KS"	"20177"	29	22206	130.6
	"Wyandotte County, KS"	"20209"	34	19391	175.3
	"Barren County, KY"	"21009"	10	5945	168.2 (Unreliable)
	"Bell County, KY"	"21013"	10	3802	263.0 (Unreliable)
	"Boone County, KY"	"21015"	20	18713	106.9
	"Boyd County, KY"	"21019"	12	6649	180.5 (Unreliable)
	"Bullitt County, KY"	"21029"	20	12001	166.7
	"Campbell County, KY"	"21037"	15	12284	122.1 (Unreliable)
	"Christian County, KY"	"21047"	10	6584	151.9 (Unreliable)
	"Clay County, KY"	"21051"	14	3002	466.4 (Unreliable)
	"Daviess County, KY"	"21059"	18	12986	138.6 (Unreliable)
	"Fayette County, KY"	"21067"	35	38359	91.2
	"Floyd County, KY"	"21071"	23	5118	449.4
	"Hardin County, KY"	"21093"	16	14652	109.2 (Unreliable)
	"Hopkins County, KY"	"21107"	23	6065	379.2
	"Jackson County, KY"	"21109"	10	1902	525.8 (Unreliable)
	"Jefferson County, KY"	"21111"	157	99581	157.7
	"Jessamine County, KY"	"21113"	13	7067	184.0 (Unreliable)
	"Johnson County, KY"	"21115"	11	3254	338.0 (Unreliable)
	"Kenton County, KY"	"21117"	26	22231	117.0
	"Laurel County, KY"	"21125"	17	8518	199.6 (Unreliable)
	"McCracken County, KY"	"21145"	12	8479	141.5 (Unreliable)
	"Madison County, KY"	"21151"	16	11111	144.0 (Unreliable)
	"Muhlenberg County, KY"	"21177"	11	4227	260.2 (Unreliable)
	"Perry County, KY"	"21193"	10	3810	262.5 (Unreliable)
	"Pike County, KY"	"21195"	15	8516	176.1 (Unreliable)
	"Pulaski County, KY"	"21199"	14	8973	156.0 (Unreliable)
	"Scott County, KY"	"21209"	11	7630	144.2 (Unreliable)
	"Warren County, KY"	"21227"	20	14811	135.0
	"Whitley County, KY"	"21235"	18	4592	392.0 (Unreliable)
	"Woodford County, KY"	"21239"	11	3767	292.0 (Unreliable)
	"Acadia Parish, LA"	"22001"	11	8100	135.8 (Unreliable)
	"Ascension Parish, LA"	"22005"	18	17077	105.4 (Unreliable)
	"Avoyelles Parish, LA"	"22009"	12	5324	225.4 (Unreliable)
	"Beauregard Parish, LA"	"22011"	12	4713	254.6 (Unreliable)
	"Bossier Parish, LA"	"22015"	18	15016	119.9 (Unreliable)
	"Caddo Parish, LA"	"22017"	57	29710	191.9
	"Calcasieu Parish, LA"	"22019"	56	24718	226.6
	"East Baton Rouge Parish, LA"	"22033"	86	50896	169.0
	"Evangeline Parish, LA"	"22039"	11	4307	255.4 (Unreliable)
	"Franklin Parish, LA"	"22041"	12	2461	487.6 (Unreliable)
